Species Detected,2/11/2021,2/19/2021,2/26/2021,2/28/2021,2/8/2021,3/10/2021,3/15/2021,3/2/2021,3/21/2021,3/24/2021,3/25/2021,3/26/2021,3/27/2021,3/28/2021,3/3/2021,3/30/2021,4/1/2021,4/10/2021,4/10/2022,4/11/2021,4/11/2022,4/12/2021,4/12/2022,4/13/2021,4/13/2022,4/14/2021,4/14/2022,4/15/2021,4/15/2022,4/16/2021,4/16/2022,4/17/2021,4/17/2022,4/18/2021,4/18/2022,4/19/2021,4/19/2022,4/2/2021,4/20/2021,4/20/2022,4/21/2021,4/21/2022,4/22/2021,4/22/2022,4/23/2021,4/23/2022,4/24/2021,4/24/2022,4/25/2021,4/25/2022,4/26/2021,4/26/2022,4/27/2021,4/27/2022,4/28/2021,4/28/2022,4/29/2021,4/29/2022,4/3/2021,4/3/2022,4/30/2021,4/30/2022,4/4/2021,4/4/2022,4/5/2021,4/5/2022,4/6/2021,4/6/2022,4/7/2021,4/7/2022,4/8/2021,4/8/2022,4/9/2021,4/9/2022,5/1/2021,5/1/2022,5/10/2021,5/10/2022,5/11/2021,5/11/2022,5/12/2021,5/12/2022,5/13/2021,5/13/2022,5/14/2021,5/14/2022,5/15/2021,5/15/2022,5/16/2021,5/16/2022,5/17/2021,5/17/2022,5/18/2021,5/18/2022,5/19/2021,5/19/2022,5/2/2021,5/2/2022,5/20/2021,5/20/2022,5/21/2021,5/21/2022,5/22/2021,5/22/2022,5/23/2021,5/23/2022,5/24/2021,5/24/2022,5/25/2021,5/25/2022,5/26/2021,5/26/2022,5/27/2021,5/27/2022,5/28/2021,5/28/2022,5/29/2021,5/29/2022,5/3/2021,5/3/2022,5/30/2021,5/30/2022,5/31/2021,5/31/2022,5/4/2021,5/4/2022,5/5/2021,5/5/2022,5/6/2021,5/6/2022,5/7/2021,5/7/2022,5/8/2021,5/8/2022,5/9/2021,5/9/2022,6/1/2021,6/1/2022,6/10/2021,6/10/2022,6/11/2021,6/11/2022,6/12/2021,6/12/2022,6/13/2021,6/13/2022,6/14/2021,6/14/2022,6/15/2021,6/15/2022,6/16/2021,6/16/2022,6/17/2021,6/17/2022,6/18/2021,6/18/2022,6/19/2021,6/19/2022,6/2/2021,6/2/2022,6/20/2021,6/20/2022,6/21/2021,6/21/2022,6/22/2021,6/22/2022,6/23/2021,6/23/2022,6/24/2021,6/24/2022,6/25/2021,6/25/2022,6/26/2021,6/26/2022,6/27/2021,6/27/2022,6/28/2021,6/28/2022,6/29/2021,6/29/2022,6/3/2021,6/3/2022,6/30/2021,6/30/2022,6/4/2021,6/4/2022,6/5/2021,6/5/2022,6/6/2021,6/6/2022,6/7/2021,6/7/2022,6/8/2021,6/8/2022,6/9/2021,6/9/2022,7/1/2021,7/1/2022,7/10/2021,7/10/2022,7/11/2021,7/11/2022,7/12/2021,7/12/2022,7/13/2021,7/13/2022,7/14/2021,7/14/2022,7/15/2021,7/15/2022,7/16/2021,7/16/2022,7/17/2021,7/17/2022,7/18/2021,7/18/2022,7/19/2021,7/19/2022,7/2/2021,7/2/2022,7/20/2021,7/20/2022,7/21/2021,7/21/2022,7/22/2021,7/22/2022,7/23/2021,7/23/2022,7/24/2021,7/24/2022,7/25/2021,7/25/2022,7/26/2021,7/26/2022,7/27/2021,7/27/2022,7/28/2021,7/28/2022,7/29/2021,7/29/2022,7/3/2021,7/3/2022,7/30/2021,7/30/2022,7/31/2021,7/31/2022,7/4/2021,7/4/2022,7/5/2021,7/5/2022,7/6/2021,7/6/2022,7/7/2021,7/7/2022,7/8/2021,7/8/2022,7/9/2021,7/9/2022,8/1/2021,8/1/2022,8/10/2022,8/11/2022,8/12/2022,8/13/2022,8/14/2022,8/16/2022,8/2/2021,8/2/2022,8/3/2021,8/3/2022,8/4/2022,8/5/2022,8/6/2022,8/7/2022,8/8/2022,8/9/2022
Gray Squirrel,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True
Groundhog,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mouse,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nine-banded Armadillo,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,False,False,True,False,True,True,True,False,True,False,False,True,False,True,False,False,True,False,True,True,True,False,True,False,True,True,True,True,False,False,False,True,True,False,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,True,True,True,True,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,True,False,True,True,True,True,True,True,True,True
Person,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,False,False,True,True,True,True,False,True,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False
Raccoon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True
Rat,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,False,True,False,True,False,True,False,True,True,True,False,True,False,True,False,True,True,True,False,True,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,True,True,False,True,False,True,True,True,True,True,False,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Red Fox,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,True,True,False,True,False,True,False,True,True,True,True,False,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,True,True,True,False,True,False,True,False,True,False,True,False,False,True,True,False,True,True,False,True,False,False,False,True,True,False,False,True,True,True,False,True,True,False,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,True,True,False,True,False,True,False,True,False,True,True,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,True,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
River Otter,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Striped Skunk,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,True,False
Virginia Opossum,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,True,True,True,True,True,True,True
White-tailed Deer,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,False,True,False,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,False,True,False,True,False,True,False,True,True,True,True,True
